country_raw,year,readiness_rank,readiness_score,era,iso3,n_countries_that_year,percentile_rank,percentile_rank_higher_is_better,score_percentile_within_year,tier
Jordan,2021,80,44.37804843,0,JOR,160,0.5,0.5,0.50625,Mid
North Macedonia,2021,81,43.72643901,0,MKD,160,0.50625,0.49375,0.5,Mid
Panama,2021,82,42.98152532,0,PAN,160,0.5125,0.48750000000000004,0.49375,Mid
Albania,2021,83,42.89921225,0,ALB,160,0.51875,0.48124999999999996,0.4875,Mid
Morocco,2021,84,42.37957443,0,MAR,160,0.525,0.475,0.48125,Mid
Barbados,2021,85,42.19622123,0,BRB,160,0.53125,0.46875,0.475,Mid
Republic of Moldova,2021,86,41.70704681,0,MDA,160,0.5375,0.4625,0.46875,Mid
Jamaica,2021,87,41.49969775,0,JAM,160,0.54375,0.45625000000000004,0.4625,Mid
Sri Lanka,2021,88,41.1170847,0,LKA,160,0.55,0.44999999999999996,0.45625,Mid
Dominican Republic,2021,89,40.88594812,0,DOM,160,0.55625,0.44375,0.45,Mid
Trinidad and Tobago,2021,90,40.77693238,0,TTO,160,0.5625,0.4375,0.44375,Mid
Peru,2021,91,40.55691787,0,PER,160,0.56875,0.43125,0.4375,Mid
Ghana,2021,92,40.19417706,0,GHA,160,0.575,0.42500000000000004,0.43125,Mid
Uzbekistan,2021,93,40.13268957,0,UZB,160,0.58125,0.41874999999999996,0.425,Mid
Lebanon,2021,94,39.66701083,0,LBN,160,0.5875,0.4125,0.41875,Mid
Ecuador,2021,95,39.19079497,0,ECU,160,0.59375,0.40625,0.4125,Mid
Bosnia and Herzegovina,2021,96,38.67179055,0,BIH,160,0.6,0.4,0.40625,Mid
Suriname,2021,97,38.58378245,0,SUR,160,0.60625,0.39375000000000004,0.4,Mid
Tajikistan,2021,98,38.48615463,0,TJK,160,0.6125,0.38749999999999996,0.39375,Mid
Algeria,2021,99,37.92372769,0,DZA,160,0.61875,0.38125,0.3875,Mid
Kyrgyzstan,2021,100,37.60655564,0,KGZ,160,0.625,0.375,0.38125,Mid
Maldives,2021,101,37.46980713,0,MDV,160,0.63125,0.36875,0.375,Mid
Paraguay,2021,102,37.347056,0,PRY,160,0.6375,0.36250000000000004,0.36875,Mid
Mongolia,2021,103,37.19721197,0,MNG,160,0.64375,0.35624999999999996,0.3625,Mid
Iraq,2021,104,36.93068457,0,IRQ,160,0.65,0.35,0.35625,Mid
Côte D'Ivoire,2021,105,36.70624068,0,CIV,160,0.65625,0.34375,0.35,Mid
Saint Lucia,2021,106,36.60854493,0,LCA,160,0.6625,0.3375,0.34375,Mid
Gabon,2021,107,36.50752942,0,GAB,160,0.66875,0.33125000000000004,0.3375,Mid
Senegal,2021,108,36.33866393,0,SEN,160,0.675,0.32499999999999996,0.33125,Bottom
Botswana,2021,109,36.32851619,0,BWA,160,0.68125,0.31875,0.325,Bottom
Bangladesh,2021,110,36.09945532,0,BGD,160,0.6875,0.3125,0.31875,Bottom
Cabo Verde,2021,111,36.0725509,0,CPV,160,0.69375,0.30625,0.3125,Bottom
Rwanda,2021,112,35.15812223,0,RWA,160,0.7,0.30000000000000004,0.30625,Bottom
Nigeria,2021,113,35.15364591,0,NGA,160,0.70625,0.29374999999999996,0.3,Bottom
Lao People's Democratic Republic,2021,114,34.93069603,0,LAO,160,0.7125,0.2875,0.29375,Bottom
Honduras,2021,115,34.91378879,0,HND,160,0.71875,0.28125,0.2875,Bottom
Papua New Guinea,2021,116,34.75322378,0,PNG,160,0.725,0.275,0.28125,Bottom
Pakistan,2021,117,34.02797097,0,PAK,160,0.73125,0.26875000000000004,0.275,Bottom
Bhutan,2021,118,34.02464587,0,BTN,160,0.7375,0.26249999999999996,0.26875,Bottom
Cambodia,2021,119,33.35277841,0,KHM,160,0.74375,0.25625,0.2625,Bottom
Namibia,2021,120,33.13770727,0,NAM,160,0.75,0.25,0.25625,Bottom
United Republic of Tanzania,2021,121,32.69103588,0,TZA,160,0.75625,0.24375000000000002,0.25,Bottom
Togo,2021,122,32.67579787,0,TGO,160,0.7625,0.23750000000000004,0.24375,Bottom
El Salvador,2021,123,32.41093072,0,SLV,160,0.76875,0.23124999999999996,0.2375,Bottom
Belize,2021,124,32.27647959,0,BLZ,160,0.775,0.22499999999999998,0.23125,Bottom
Guatemala,2021,125,32.25324754,0,GTM,160,0.78125,0.21875,0.225,Bottom
Burkina Faso,2021,126,32.24337189,0,BFA,160,0.7875,0.21250000000000002,0.21875,Bottom
Nepal,2021,127,31.92381466,0,NPL,160,0.79375,0.20625000000000004,0.2125,Bottom
Cameroon,2021,128,31.88317068,0,CMR,160,0.8,0.19999999999999996,0.20625,Bottom
Uganda,2021,129,31.75694309,0,UGA,160,0.80625,0.19374999999999998,0.2,Bottom
Bolivia,2021,130,31.62091026,0,BOL,160,0.8125,0.1875,0.19375,Bottom
Nicaragua,2021,131,31.57349015,0,NIC,160,0.81875,0.18125000000000002,0.1875,Bottom
Myanmar,2021,132,31.56724078,0,MMR,160,0.825,0.17500000000000004,0.18125,Bottom
Zambia,2021,133,31.21443781,0,ZMB,160,0.83125,0.16874999999999996,0.175,Bottom
Venezuela,2021,134,30.53735761,0,VEN,160,0.8375,0.16249999999999998,0.16875,Bottom
Gambia,2021,135,30.45293732,0,GMB,160,0.84375,0.15625,0.1625,Bottom
Congo,2021,136,30.419714,0,COG,160,0.85,0.15000000000000002,0.15625,Bottom
Cuba,2021,137,30.37906954,0,CUB,160,0.85625,0.14375000000000004,0.15,Bottom
Mali,2021,138,30.13971936,0,MLI,160,0.8625,0.13749999999999996,0.14375,Bottom
Lesotho,2021,139,29.84210131,0,LSO,160,0.86875,0.13124999999999998,0.1375,Bottom
Eswatini,2021,140,29.75608844,0,SWZ,160,0.875,0.125,0.13125,Bottom
Mauritania,2021,141,29.6239225,0,MRT,160,0.88125,0.11875000000000002,0.125,Bottom
Madagascar,2021,142,29.5299684,0,MDG,160,0.8875,0.11250000000000004,0.11875,Bottom
Sierra Leone,2021,143,29.39077071,0,SLE,160,0.89375,0.10624999999999996,0.1125,Bottom
Zimbabwe,2021,144,29.14901401,0,ZWE,160,0.9,0.09999999999999998,0.10625,Bottom
Benin,2021,145,28.7305943,0,BEN,160,0.90625,0.09375,0.1,Bottom
Liberia,2021,146,28.13823481,0,LBR,160,0.9125,0.08750000000000002,0.09375,Bottom
Ethiopia,2021,147,27.9477856,0,ETH,160,0.91875,0.08125000000000004,0.0875,Bottom
Niger,2021,148,27.80891145,0,NER,160,0.925,0.07499999999999996,0.08125,Bottom
Guinea,2021,149,27.54707074,0,GIN,160,0.93125,0.06874999999999998,0.075,Bottom
Mozambique,2021,150,26.23467412,0,MOZ,160,0.9375,0.0625,0.06875,Bottom
Sudan,2021,151,25.91396992,0,SDN,160,0.94375,0.05625000000000002,0.0625,Bottom
Haiti,2021,152,25.13503439,0,HTI,160,0.95,0.050000000000000044,0.05625,Bottom
Malawi,2021,153,24.84849018,0,MWI,160,0.95625,0.043749999999999956,0.05,Bottom
Afghanistan,2021,154,24.37809891,0,AFG,160,0.9625,0.03749999999999998,0.04375,Bottom
Chad,2021,155,24.00477702,0,TCD,160,0.96875,0.03125,0.0375,Bottom
Burundi,2021,156,23.7171165,0,BDI,160,0.975,0.025000000000000022,0.03125,Bottom
Democratic Republic of the Congo,2021,157,23.32239331,0,COD,160,0.98125,0.018750000000000044,0.025,Bottom
Angola,2021,158,22.86557857,0,AGO,160,0.9875,0.012499999999999956,0.01875,Bottom
Central African Republic,2021,159,20.73444159,0,CAF,160,0.99375,0.006249999999999978,0.0125,Bottom
Yemen,2021,160,17.92941373,0,YEM,160,1.0,0.0,0.00625,Bottom
United States of America,2022,1,85.72133804,0,USA,181,0.0055248618784530384,0.994475138121547,1.0,Top
Singapore,2022,2,84.1162602,0,SGP,181,0.011049723756906077,0.988950276243094,0.994475138121547,Top
United Kingdom,2022,3,78.54010209,0,GBR,181,0.016574585635359115,0.9834254143646409,0.988950276243094,Top
Finland,2022,4,77.59332703,0,FIN,181,0.022099447513812154,0.9779005524861879,0.9834254143646409,Top
Canada,2022,5,77.38916245,0,CAN,181,0.027624309392265192,0.9723756906077348,0.9779005524861878,Top
Republic of Korea,2022,6,76.75699843,0,KOR,181,0.03314917127071823,0.9668508287292817,0.9723756906077348,Top
France,2022,7,75.78358408,0,FRA,181,0.03867403314917127,0.9613259668508287,0.9668508287292817,Top
Australia,2022,8,75.29178001,0,AUS,181,0.04419889502762431,0.9558011049723757,0.9613259668508287,Top
Japan,2022,9,75.2536366,0,JPN,181,0.049723756906077346,0.9502762430939227,0.9558011049723757,Top
Netherlands,2022,10,75.11228339,0,NLD,181,0.055248618784530384,0.9447513812154696,0.9502762430939227,Top
Denmark,2022,11,74.79016756,0,DNK,181,0.06077348066298342,0.9392265193370166,0.9447513812154696,Top
Norway,2022,12,73.0897855,0,NOR,181,0.06629834254143646,0.9337016574585635,0.9392265193370166,Top
Sweden,2022,13,73.05606154,0,SWE,181,0.0718232044198895,0.9281767955801105,0.9337016574585635,Top
Taiwan,2022,14,72.78496134,0,TWN,181,0.07734806629834254,0.9226519337016574,0.9281767955801105,Top
Germany,2022,15,72.64159902,0,DEU,181,0.08287292817679558,0.9171270718232044,0.9226519337016574,Top
Austria,2022,16,71.49081059,0,AUT,181,0.08839779005524862,0.9116022099447514,0.9171270718232044,Top
China,2022,17,70.83634174,0,CHN,181,0.09392265193370165,0.9060773480662984,0.9116022099447514,Top
Ireland,2022,18,70.75787951,0,IRL,181,0.09944751381215469,0.9005524861878453,0.9060773480662984,Top
Estonia,2022,19,70.14246449,0,EST,181,0.10497237569060773,0.8950276243093923,0.9005524861878453,Top
Israel,2022,20,70.11641725,0,ISR,181,0.11049723756906077,0.8895027624309393,0.8950276243093923,Top
Belgium,2022,21,69.94696786,0,BEL,181,0.11602209944751381,0.8839779005524862,0.8895027624309392,Top
United Arab Emirates,2022,22,68.54401914,0,ARE,181,0.12154696132596685,0.8784530386740331,0.8839779005524862,Top
Switzerland,2022,23,68.49444385,0,CHE,181,0.1270718232044199,0.8729281767955801,0.8784530386740331,Top
Italy,2022,24,68.40631647,0,ITA,181,0.13259668508287292,0.8674033149171271,0.8729281767955801,Top
Portugal,2022,25,68.11883424,0,PRT,181,0.13812154696132597,0.861878453038674,0.8674033149171271,Top
Luxembourg,2022,26,67.90883906,0,LUX,181,0.143646408839779,0.856353591160221,0.861878453038674,Top
Spain,2022,27,67.82500746,0,ESP,181,0.14917127071823205,0.850828729281768,0.856353591160221,Top
New Zealand,2022,28,67.81782093,0,NZL,181,0.15469613259668508,0.8453038674033149,0.850828729281768,Top
Malaysia,2022,29,67.37403813,0,MYS,181,0.16022099447513813,0.8397790055248618,0.8453038674033149,Top
Czech Republic,2022,30,67.05055789,0,CZE,181,0.16574585635359115,0.8342541436464088,0.8397790055248618,Top
Thailand,2022,31,64.63063705,0,THA,181,0.1712707182320442,0.8287292817679558,0.8342541436464088,Top
India,2022,32,63.66522524,0,IND,181,0.17679558011049723,0.8232044198895028,0.8287292817679558,Top
Malta,2022,33,62.75184823,0,MLT,181,0.18232044198895028,0.8176795580110497,0.8232044198895028,Top
Poland,2022,34,62.65072579,0,POL,181,0.1878453038674033,0.8121546961325967,0.8176795580110497,Top
Chile,2022,35,62.51743318,0,CHL,181,0.19337016574585636,0.8066298342541436,0.8121546961325967,Top
Qatar,2022,36,62.37304734,0,QAT,181,0.19889502762430938,0.8011049723756907,0.8066298342541437,Top
Brazil,2022,37,62.36663855,0,BRA,181,0.20441988950276244,0.7955801104972375,0.8011049723756906,Top
Lithuania,2022,38,62.20182711,0,LTU,181,0.20994475138121546,0.7900552486187845,0.7955801104972375,Top
Saudi Arabia,2022,39,61.96247066,0,SAU,181,0.2154696132596685,0.7845303867403315,0.7900552486187845,Top
Russian Federation,2022,40,61.48426081,0,RUS,181,0.22099447513812154,0.7790055248618785,0.7845303867403315,Top
Slovenia,2022,41,61.4463947,0,SVN,181,0.2265193370165746,0.7734806629834254,0.7790055248618785,Top
Hungary,2022,42,61.43939487,0,HUN,181,0.23204419889502761,0.7679558011049724,0.7734806629834254,Top
Indonesia,2022,43,60.89255185,0,IDN,181,0.23756906077348067,0.7624309392265194,0.7679558011049724,Top
Bulgaria,2022,44,60.33310733,0,BGR,181,0.2430939226519337,0.7569060773480663,0.7624309392265194,Top
Iceland,2022,45,59.84295226,0,ISL,181,0.24861878453038674,0.7513812154696132,0.7569060773480663,Top
Latvia,2022,46,59.84242562,0,LVA,181,0.2541436464088398,0.7458563535911602,0.7513812154696132,Top
Colombia,2022,47,59.37944898,0,COL,181,0.2596685082872928,0.7403314917127072,0.7458563535911602,Top
Cyprus,2022,48,59.14788556,0,CYP,181,0.26519337016574585,0.7348066298342542,0.7403314917127072,Top
Turkey,2022,49,58.97375556,0,TUR,181,0.27071823204419887,0.7292817679558011,0.7348066298342542,Top
Greece,2022,50,58.56101347,0,GRC,181,0.27624309392265195,0.7237569060773481,0.7292817679558011,Top
Uruguay,2022,51,58.2470919,0,URY,181,0.281767955801105,0.718232044198895,0.7237569060773481,Top
Oman,2022,52,57.83051152,0,OMN,181,0.287292817679558,0.7127071823204421,0.7182320441988951,Top
Argentina,2022,53,57.38681671,0,ARG,181,0.292817679558011,0.7071823204419889,0.712707182320442,Top
Philippines,2022,54,55.41679531,0,PHL,181,0.2983425414364641,0.7016574585635359,0.7071823204419889,Top
Viet Nam,2022,55,53.96052747,0,VNM,181,0.30386740331491713,0.6961325966850829,0.7016574585635359,Top
Bahrain,2022,56,53.59440928,0,BHR,181,0.30939226519337015,0.6906077348066298,0.6961325966850829,Top
Mauritius,2022,57,53.38242963,0,MUS,181,0.3149171270718232,0.6850828729281768,0.6906077348066298,Top
Romania,2022,58,53.29633,0,ROU,181,0.32044198895027626,0.6795580110497237,0.6850828729281768,Top
Serbia,2022,59,52.96174925,0,SRB,181,0.3259668508287293,0.6740331491712708,0.6795580110497238,Top
Ukraine,2022,60,52.79602255,0,UKR,181,0.3314917127071823,0.6685082872928176,0.6740331491712708,Top
Peru,2022,61,51.97236356,0,PER,181,0.3370165745856354,0.6629834254143646,0.6685082872928176,Top
Mexico,2022,62,51.78355316,0,MEX,181,0.3425414364640884,0.6574585635359116,0.6629834254143646,Mid
Jordan,2022,63,51.76399042,0,JOR,181,0.34806629834254144,0.6519337016574586,0.6574585635359116,Mid
Slovakia,2022,64,51.22626911,0,SVK,181,0.35359116022099446,0.6464088397790055,0.6519337016574586,Mid
Egypt,2022,65,49.41720556,0,EGY,181,0.35911602209944754,0.6408839779005524,0.6464088397790055,Mid
Croatia,2022,66,48.58505521,0,HRV,181,0.36464088397790057,0.6353591160220995,0.6408839779005525,Mid
Brunei Darussalam,2022,67,48.05568313,0,BRN,181,0.3701657458563536,0.6298342541436464,0.6353591160220995,Mid
South Africa,2022,68,47.74442738,0,ZAF,181,0.3756906077348066,0.6243093922651934,0.6298342541436464,Mid
Kuwait,2022,69,47.67990454,0,KWT,181,0.3812154696132597,0.6187845303867403,0.6243093922651933,Mid
Tunisia,2022,70,46.80606294,0,TUN,181,0.3867403314917127,0.6132596685082873,0.6187845303867403,Mid
North Macedonia,2022,71,46.10847621,0,MKD,181,0.39226519337016574,0.6077348066298343,0.6132596685082873,Mid
Kazakhstan,2022,72,45.78086433,0,KAZ,181,0.39779005524861877,0.6022099447513812,0.6077348066298343,Mid
Lebanon,2022,73,45.71549399,0,LBN,181,0.40331491712707185,0.5966850828729282,0.6022099447513812,Mid
Azerbaijan,2022,74,45.55120353,0,AZE,181,0.4088397790055249,0.5911602209944751,0.5966850828729282,Mid
Iran,2022,75,45.29521769,0,IRN,181,0.4143646408839779,0.5856353591160222,0.5911602209944752,Mid
Montenegro,2022,76,45.19895959,0,MNE,181,0.4198895027624309,0.580110497237569,0.585635359116022,Mid
Andorra,2022,77,45.15885579,0,AND,181,0.425414364640884,0.574585635359116,0.580110497237569,Mid
Costa Rica,2022,78,44.96926052,0,CRI,181,0.430939226519337,0.569060773480663,0.574585635359116,Mid
Uzbekistan,2022,79,44.50639995,0,UZB,181,0.43646408839779005,0.56353591160221,0.569060773480663,Mid
Bangladesh,2022,80,43.62840762,0,BGD,181,0.4419889502762431,0.5580110497237569,0.56353591160221,Mid
Dominican Republic,2022,81,42.15738701,0,DOM,181,0.44751381215469616,0.5524861878453038,0.5580110497237569,Mid
Albania,2022,82,42.0977979,0,ALB,181,0.4530386740331492,0.5469613259668509,0.5524861878453039,Mid
Republic of Moldova,2022,83,42.03558654,0,MDA,181,0.4585635359116022,0.5414364640883977,0.5469613259668509,Mid
Armenia,2022,84,41.91047934,0,ARM,181,0.46408839779005523,0.5359116022099448,0.5414364640883977,Mid
Fiji,2022,85,41.75570206,0,FJI,181,0.4696132596685083,0.5303867403314917,0.5359116022099447,Mid
Panama,2022,86,41.48689612,0,PAN,181,0.47513812154696133,0.5248618784530387,0.5303867403314917,Mid
Morocco,2022,87,41.31130191,0,MAR,181,0.48066298342541436,0.5193370165745856,0.5248618784530387,Mid
Georgia,2022,88,40.79056687,0,GEO,181,0.4861878453038674,0.5138121546961326,0.5193370165745856,Mid
Bahamas,2022,89,40.74236429,0,BHS,181,0.49171270718232046,0.5082872928176796,0.5138121546961326,Mid
Kenya,2022,90,40.35660716,0,KEN,181,0.4972375690607735,0.5027624309392265,0.5082872928176796,Mid
Belarus,2022,91,40.27136657,0,BLR,181,0.5027624309392266,0.49723756906077343,0.5027624309392266,Mid
Pakistan,2022,92,40.22052841,0,PAK,181,0.5082872928176796,0.4917127071823204,0.4972375690607735,Mid
Rwanda,2022,93,40.20366886,0,RWA,181,0.5138121546961326,0.4861878453038674,0.49171270718232046,Mid
Seychelles,2022,94,39.87192314,0,SYC,181,0.5193370165745856,0.48066298342541436,0.4861878453038674,Mid
Tonga,2022,95,39.80367582,0,TON,181,0.5248618784530387,0.47513812154696133,0.48066298342541436,Mid
Barbados,2022,96,39.53011484,0,BRB,181,0.5303867403314917,0.4696132596685083,0.47513812154696133,Mid
Nigeria,2022,97,39.10120996,0,NGA,181,0.5359116022099447,0.4640883977900553,0.4696132596685083,Mid
Botswana,2022,98,38.36432707,0,BWA,181,0.5414364640883977,0.45856353591160226,0.46408839779005523,Mid
Bhutan,2022,99,37.91424365,0,BTN,181,0.5469613259668509,0.4530386740331491,0.4585635359116022,Mid
Antigua and Barbuda,2022,100,37.91159431,0,ATG,181,0.5524861878453039,0.4475138121546961,0.4530386740331492,Mid
Ecuador,2022,101,37.3586778,0,ECU,181,0.5580110497237569,0.4419889502762431,0.44751381215469616,Mid
Mongolia,2022,102,37.21364782,0,MNG,181,0.56353591160221,0.43646408839779005,0.4419889502762431,Mid
Jamaica,2022,103,37.09045226,0,JAM,181,0.569060773480663,0.430939226519337,0.43646408839779005,Mid
Ghana,2022,104,36.56305785,0,GHA,181,0.574585635359116,0.425414364640884,0.430939226519337,Mid
Sri Lanka,2022,105,36.23061644,0,LKA,181,0.580110497237569,0.419889502762431,0.425414364640884,Mid
Trinidad and Tobago,2022,106,36.1712009,0,TTO,181,0.585635359116022,0.41436464088397795,0.4198895027624309,Mid
Saint Lucia,2022,107,35.85863778,0,LCA,181,0.5911602209944752,0.4088397790055248,0.4143646408839779,Mid
Benin,2022,108,35.83543571,0,BEN,181,0.5966850828729282,0.4033149171270718,0.4088397790055249,Mid
Tajikistan,2022,109,35.83071587,0,TJK,181,0.6022099447513812,0.39779005524861877,0.40331491712707185,Mid
Paraguay,2022,110,35.45868855,0,PRY,181,0.6077348066298343,0.39226519337016574,0.39779005524861877,Mid
Algeria,2022,111,35.32545863,0,DZA,181,0.6132596685082873,0.3867403314917127,0.39226519337016574,Mid
Bosnia and Herzegovina,2022,112,35.16653037,0,BIH,181,0.6187845303867403,0.3812154696132597,0.3867403314917127,Mid
Suriname,2022,113,35.10760082,0,SUR,181,0.6243093922651933,0.37569060773480667,0.3812154696132597,Mid
Guatemala,2022,114,34.92596868,0,GTM,181,0.6298342541436464,0.37016574585635365,0.3756906077348066,Mid
Namibia,2022,115,34.56777823,0,NAM,181,0.6353591160220995,0.3646408839779005,0.3701657458563536,Mid
Senegal,2022,116,34.51097098,0,SEN,181,0.6408839779005525,0.3591160220994475,0.36464088397790057,Mid
Grenada,2022,117,34.39033175,0,GRD,181,0.6464088397790055,0.35359116022099446,0.35911602209944754,Mid
Cabo Verde,2022,118,34.27404409,0,CPV,181,0.6519337016574586,0.34806629834254144,0.35359116022099446,Mid
Kyrgyzstan,2022,119,33.90924499,0,KGZ,181,0.6574585635359116,0.3425414364640884,0.34806629834254144,Mid
Saint Vincent and the Grenadines,2022,120,33.70891003,0,VCT,181,0.6629834254143646,0.3370165745856354,0.3425414364640884,Mid
Maldives,2022,121,33.53552338,0,MDV,181,0.6685082872928176,0.33149171270718236,0.3370165745856354,Mid
Guyana,2022,122,33.51820323,0,GUY,181,0.6740331491712708,0.3259668508287292,0.3314917127071823,Bottom
Uganda,2022,123,32.65923191,0,UGA,181,0.6795580110497238,0.3204419889502762,0.3259668508287293,Bottom
