iso3,country_raw,readiness_rank,readiness_score,GOV_WGI_CC_EST,GOV_WGI_PV_EST,GOV_WGI_RL_EST,IP.JRN.ARTC.SC,IT.CEL.SETS.P2,IT.NET.BBND.P2,NY.GDP.PCAP.PP.CD,SE.TER.ENRR,TX.VAL.TECH.MF.ZS,predictor_year,outcome_year,era,region,income_classification
EST,Estonia,19,70.14246449,1.5368104,0.8879044,1.4888413,1765.86,148.739589817601,37.357189680638,44251.53749834551,73.1502075195312,20.63011555770852,2021,2022,0,Europe & Central Asia,High income
ISR,Israel,20,70.11641725,0.9249105,-0.699899199999999,0.8807927,14633.85,139.775312861878,29.7078785417387,46162.082273024746,60.2585487365723,29.59567587227614,2021,2022,0,Middle East & North Africa,High income
BEL,Belgium,21,69.94696786,1.5502151,0.461917,1.4052126,17845.94,101.462935633736,43.0218054966431,60669.21377465312,82.6882019042969,21.37996387637373,2021,2022,0,Europe & Central Asia,High income
ARE,United Arab Emirates,22,68.54401914,1.0349829,0.839581,0.338504,5201.38,186.30089463245,36.5005361093336,68580.14854234828,56.4520334436146,8.957962657252622,2021,2022,0,Middle East & North Africa,High income
CHE,Switzerland,23,68.49444385,2.1059546,1.0255347,1.7893994,24649.1,123.21236546636,47.9433096708255,81001.41112061175,71.893928527832,14.23506327297248,2021,2022,0,Europe & Central Asia,High income
ITA,Italy,24,68.40631647,0.5394316,0.4392226,0.5885,85699.51,130.781488497698,31.2852927413407,49825.39341118482,71.2745208740234,7.770245655162528,2021,2022,0,Europe & Central Asia,High income
PRT,Portugal,25,68.11883424,0.8188182,0.9584396,1.1690784,18387.68,119.768700781718,41.5145728650954,38657.6677223425,72.5122375488281,6.250331404511996,2021,2022,0,Europe & Central Asia,High income
LUX,Luxembourg,26,67.90883906,1.9638476,1.1450494,1.7333366,1048.94,136.87108956478,38.0399641403524,136772.44375329223,20.7341499328613,6.075202068215098,2021,2022,0,Europe & Central Asia,High income
ESP,Spain,27,67.82500746,0.8120886,0.38323,0.9207665,63622.32,118.999806936801,34.9302420932073,44251.66582226214,95.3768997192383,9.39320382214351,2021,2022,0,Europe & Central Asia,High income
NZL,New Zealand,28,67.81782093,2.1244607,1.3569818,1.7303956,8960.04,114.454714130458,35.262820014578,48248.71767298924,79.4128875732422,9.761107814301456,2021,2022,0,East Asia & Pacific,High income
MYS,Malaysia,29,67.37403813,0.3015023,0.196108,0.3016338,22347.89,137.684938559871,10.8921782282506,29822.84918316184,38.1899993008367,51.678683637951394,2021,2022,0,East Asia & Pacific,Upper middle income
CZE,Czech Republic,30,67.05055789,0.7300087,0.9968819,1.1669833,14812.42,126.173145654465,37.4984794433561,47796.0337408466,69.8369293212891,20.35609092625528,2021,2022,0,Europe & Central Asia,High income
THA,Thailand,31,64.63063705,-0.3893452,-0.6963747,-0.2575207,15679.41,168.485285358167,17.3168855632327,20242.770003565594,43.4690405127808,24.66428000193656,2021,2022,0,East Asia & Pacific,Upper middle income
IND,India,32,63.66522524,-0.300757,-0.6015988,-0.1841026,173096.47,81.603974311212,1.9487996093033,8050.018574526641,31.5741765984501,10.212559662511833,2021,2022,0,South Asia,Lower middle income
MLT,Malta,33,62.75184823,0.4667226,0.9318346,0.8666429,519.44,123.941408455002,42.1830899964911,56852.32185122669,70.2313537597656,30.73555909823162,2021,2022,0,Middle East & North Africa,High income
POL,Poland,34,62.65072579,0.6869719,0.5651963,0.4098572,34667.25,132.987203939653,22.8165643900514,41059.5847829682,72.2060623168945,9.445565142809356,2021,2022,0,Europe & Central Asia,High income
CHL,Chile,35,62.51743318,1.1463006,0.146317,0.7564837,9319.43,136.571581265001,22.0140443723879,29089.85045972798,96.2227935791016,12.441774859085578,2021,2022,0,Latin America & Caribbean,High income
QAT,Qatar,36,62.37304734,0.8394432,0.9259515,0.5003341,2522.3,137.709548409191,11.0795735105944,116832.65694197152,31.2813974439236,1.719404264112815,2021,2022,0,Middle East & North Africa,High income
BRA,Brazil,37,62.36663855,-0.404589,-0.3922756,-0.4091435,69590.64,104.824727184587,19.8363162401481,18075.70600487568,57.6311988830566,9.00155420026002,2021,2022,0,Latin America & Caribbean,Upper middle income
LTU,Lithuania,38,62.20182711,0.9249581,1.0111257,1.2107283,2694.9,133.357273318046,28.712701575387,45873.52732394857,75.0314712524414,11.508956927431983,2021,2022,0,Europe & Central Asia,High income
SAU,Saudi Arabia,39,61.96247066,0.2365231,-0.4672131,-0.1658751,19810.93,145.003757775499,33.7973610185654,62690.49666459286,74.3924865722656,0.3057152401093848,2021,2022,0,Middle East & North Africa,High income
RUS,Russian Federation,40,61.48426081,-0.7788442,-0.5061895,-0.902773199999999,90676.68,169.07261384221,23.7409106485411,38638.4296875,54.9542479280814,9.72984772707015,2021,2022,0,Europe & Central Asia,High income
SVN,Slovenia,41,61.4463947,0.6986582,0.7356372,0.9260486,4058.0,123.362924143622,31.5502669986288,45914.05723924055,82.2400436401367,6.209306032570846,2021,2022,0,Europe & Central Asia,High income
HUN,Hungary,42,61.43939487,0.1312695,0.7337253,0.2971399,7822.44,105.137285804787,34.8391868436369,38887.19095271536,58.6536102294922,16.397512642927854,2021,2022,0,Europe & Central Asia,High income
IDN,Indonesia,43,60.89255185,-0.416213499999999,-0.6496757,-0.1436778,23653.58,132.199444256099,4.4874632789818,12757.07464402037,40.6293239880732,7.201279701443059,2021,2022,0,East Asia & Pacific,Upper middle income
BGR,Bulgaria,44,60.33310733,-0.2260611,0.4063981,-0.0377457,4748.48,114.911988483727,32.7688420838347,30959.111845980715,85.3017501831055,10.924473573821324,2021,2022,0,Europe & Central Asia,High income
ISL,Iceland,45,59.84295226,1.8584301,1.3382488,1.7076168,725.0,117.34255750797,38.4077027940877,61610.213274071466,86.5232086181641,33.48741486572734,2021,2022,0,Europe & Central Asia,High income
LVA,Latvia,46,59.84242562,0.8423495,0.8069842,0.9839815,1786.29,114.644670333429,25.9761549056076,36912.013060216064,93.4839324951172,16.980371363084238,2021,2022,0,Europe & Central Asia,High income
COL,Colombia,47,59.37944898,-0.269745299999999,-1.0147831,-0.506983,9491.15,146.627837254516,16.4767904492313,17383.090172829532,58.3159217834473,8.209149609062438,2021,2022,0,Latin America & Caribbean,Upper middle income
CYP,Cyprus,48,59.14788556,0.4905518,0.4791734,0.7712279,1628.11,142.051408905141,36.6502473650247,47632.76953125,106.362930297852,15.969002678663305,2021,2022,0,Europe & Central Asia,High income
TUR,Turkey,49,58.97375556,-0.3992138,-0.9721057,-0.775344399999999,46843.54,99.5415432248525,20.9211211378579,32105.547440050563,125.763786315918,3.2836273997014094,2021,2022,0,Europe & Central Asia,Upper middle income
GRC,Greece,50,58.56101347,0.3910516,0.2270172,0.4439375,13776.67,108.643525000707,41.9213046741732,33531.15511225996,150.605484008789,12.284868152439335,2021,2022,0,Europe & Central Asia,High income
URY,Uruguay,51,58.2470919,1.6220519,1.1500797,0.9518641,1185.78,138.112989243956,32.5451063460216,29431.885008747067,75.1713873701582,8.603734005252923,2021,2022,0,Latin America & Caribbean,High income
OMN,Oman,52,57.83051152,0.0233919,0.3902352,0.2255117,1320.34,135.076972756826,11.5852955507366,38719.45876820488,43.8433613964625,6.610686846504331,2021,2022,0,Middle East & North Africa,High income
ARG,Argentina,53,57.38681671,-0.3273298,0.0921998,-0.303899,9943.87,130.352799939601,23.1500020932515,26300.274261175044,107.219557633976,4.422891392643118,2021,2022,0,Latin America & Caribbean,Upper middle income
PHL,Philippines,54,55.41679531,-0.5743865,-1.0935816,-0.6736731,3948.12,144.424289981649,8.50897715713263,8857.789951155139,33.6166173848126,64.22540833461062,2021,2022,0,East Asia & Pacific,Lower middle income
VNM,Viet Nam,55,53.96052747,-0.310677,0.1345844,-0.310641599999999,8978.42,136.806313165021,19.5362327330994,12048.901993553598,41.9554971195048,41.53963465441981,2021,2022,0,East Asia & Pacific,Lower middle income
BHR,Bahrain,56,53.59440928,0.210097,-0.5041164,0.0190676,665.36,128.078912532195,16.5057891919103,54954.67578955323,47.5015525503536,0.5905900434456504,2021,2022,0,Middle East & North Africa,High income
MUS,Mauritius,57,53.38242963,0.416008,0.9264413,0.7212842,208.35,154.053185977432,25.7028828022003,23010.201382690524,43.9577226373808,0.3862043609499416,2021,2022,0,Sub-Saharan Africa,Upper middle income
ROU,Romania,58,53.29633,0.0096051,0.6671952,0.4615581,10812.95,119.123068432356,31.6949603653045,37534.15591769115,55.2656097412109,11.487940834609924,2021,2022,0,Europe & Central Asia,High income
SRB,Serbia,59,52.96174925,-0.4707878,-0.0436914,-0.1926347,4878.41,125.075587327252,26.4794202826056,23406.40363156344,69.1800231933594,,2021,2022,0,Europe & Central Asia,Upper middle income
UKR,Ukraine,60,52.79602255,-0.8040912,-0.990563099999999,-0.5685603,15639.81,135.025688989835,18.2677942438439,17846.408203125,75.9079435107907,4.510507922578411,2021,2022,0,Europe & Central Asia,Upper middle income
PER,Peru,61,51.97236356,-0.509709,-0.334168099999999,-0.5208197,4073.17,129.993736857913,9.05771410333768,15280.551210648637,,4.461645050021671,2021,2022,0,Latin America & Caribbean,Upper middle income
MEX,Mexico,62,51.78355316,-0.8733867,-0.736204699999999,-1.0248188,20345.96,99.09481491263,19.2796725887476,20782.58774175454,45.6506195068359,19.811340639837663,2021,2022,0,Latin America & Caribbean,Upper middle income
JOR,Jordan,63,51.76399042,0.0177108,-0.390988399999999,0.0436082,3852.39,65.7448847660422,6.45876564968631,9182.496161255996,30.451314266821,1.713679702988074,2021,2022,0,Middle East & North Africa,Lower middle income
SVK,Slovakia,64,51.22626911,0.3575001,0.5857562,0.7070856,5150.0,135.268252737261,32.6060735005904,38346.09357681767,50.7342491149902,9.001389401510746,2021,2022,0,Europe & Central Asia,High income
EGY,Egypt,65,49.41720556,-0.7873199,-1.066781,-0.8185251,20781.71,84.0866220906029,9.76582299335252,15579.01608615512,35.1185317783157,3.170819270558141,2021,2022,0,Middle East & North Africa,Lower middle income
HRV,Croatia,66,48.58505521,0.0954983,0.6364386,0.4127964,5529.57,112.169438491978,26.7157501000099,36930.28419414053,78.0067901611328,9.606733514122746,2021,2022,0,Europe & Central Asia,High income
BRN,Brunei Darussalam,67,48.05568313,1.1827999,1.1632013,0.5616354,302.38,133.597065445264,17.580984722871,78248.797127611,27.4258937503291,1.3609175851410775,2021,2022,0,East Asia & Pacific,High income
ZAF,South Africa,68,47.74442738,0.0645613,-0.7738081,0.1210745,15478.5,163.12806305125,2.75540858002384,13681.954814481312,22.3431289991291,5.547560490452681,2021,2022,0,Sub-Saharan Africa,Upper middle income
KWT,Kuwait,69,47.67990454,-0.0606404,0.1542148,0.1194986,1184.25,158.646854136291,1.61587179429556,50651.95753370912,51.8967176944636,1.1917798374399038,2021,2022,0,Middle East & North Africa,High income
TUN,Tunisia,70,46.80606294,-0.1415165,-0.6668946,-0.0151282999999999,4958.99,129.846077003661,12.4220429522978,12444.3264026887,33.2740287780762,7.168311183732175,2021,2022,0,Middle East & North Africa,Lower middle income
MKD,North Macedonia,71,46.10847621,-0.3856405,0.0908151,-0.117091,425.21,104.875134243923,26.9448892231031,22144.28425714312,44.3020210266113,4.0331959439009,2021,2022,0,Europe & Central Asia,Upper middle income
KAZ,Kazakhstan,72,45.78086433,-0.2698189,-0.2325504,-0.4655785,2950.4,123.943942754522,13.946795830528,32945.85157258231,59.3849415869809,27.34354406361486,2021,2022,0,Europe & Central Asia,Upper middle income
LBN,Lebanon,73,45.71549399,-1.2586741,-1.3231817,-1.0028379,2130.13,74.9935205999452,7.55615217723581,11599.77550837654,56.8657861418168,2.154253144780375,2021,2022,0,Middle East & North Africa,Lower middle income
AZE,Azerbaijan,74,45.55120353,-0.775813299999999,-0.4888287,-0.608585199999999,1021.54,105.693559477177,20.0856994533421,20111.37569521088,39.0095977224788,2.097104231471289,2021,2022,0,Europe & Central Asia,Upper middle income
IRN,Iran,75,45.29521769,-1.1267612,-1.1577773,-1.06900019999999,58049.49,153.624638869213,12.068102546673,15884.427677596332,54.3051986694336,0.3805253978606729,2021,2022,0,Middle East & North Africa,Upper middle income
MNE,Montenegro,76,45.19895959,0.0383454,-0.0332398999999999,0.0178112,283.61,185.488473149833,31.180870777725,23690.07735130564,57.9613914489746,9.444483875061833,2021,2022,0,Europe & Central Asia,Upper middle income
AND,Andorra,77,45.15885579,,,,8.52,119.687611658415,50.2769128681537,59332.20291001272,15.4117647058823,24.380676250865427,2021,2022,0,Europe & Central Asia,High income
CRI,Costa Rica,78,44.96926052,0.590956,1.0171458,0.6104539,750.58,140.788061157457,20.9242986347003,23852.925302000167,,16.967000554270463,2021,2022,0,Latin America & Caribbean,High income
UZB,Uzbekistan,79,44.50639995,-0.7419446,-0.221247,-0.700166499999999,2104.99,102.410090312681,21.8944210928633,9247.643827039294,22.0939011675309,0.3080874944273715,2021,2022,0,Europe & Central Asia,Lower middle income
BGD,Bangladesh,80,43.62840762,-1.0928915,-1.0535518,-0.974914899999999,7463.57,110.012054001037,6.64246518111116,7441.069139612541,23.9006822335243,,2021,2022,0,South Asia,Lower middle income
DOM,Dominican Republic,81,42.15738701,-0.545258,0.3502987,-0.3243436,100.61,87.5207623947766,10.3195260186654,22053.458986995527,56.4690832383051,8.480050015491772,2021,2022,0,Latin America & Caribbean,Upper middle income
ALB,Albania,82,42.0977979,-0.60203,0.0239536,-0.2015586,255.02,92.4843357131703,19.6303737145283,18212.87024666862,59.9698690125562,0.4195099889772987,2021,2022,0,Europe & Central Asia,Upper middle income
MDA,Republic of Moldova,83,42.03558654,-0.550342,-0.0451684,-0.2519381,334.96,128.983642317657,25.2112754309344,15682.070328465348,61.3014036981023,2.236947406737116,2021,2022,0,Europe & Central Asia,Upper middle income
ARM,Armenia,84,41.91047934,0.0558398,-0.5019,-0.1028405,565.63,125.395134877327,16.2565945813558,15921.705281964018,56.6235144830279,5.956719936847862,2021,2022,0,Europe & Central Asia,Upper middle income
FJI,Fiji,85,41.75570206,0.4839702,0.6663534,0.1636161,197.31,108.158405429846,2.51573287546457,10322.427963885417,76.7030156165859,1.9091287366652567,2021,2022,0,East Asia & Pacific,Upper middle income
PAN,Panama,86,41.48689612,-0.5235702,0.3538332,-0.230409999999999,282.05,147.899862038176,14.8381106018887,30932.76278091445,52.7147829654218,0.2600622267048286,2021,2022,0,Latin America & Caribbean,High income
MAR,Morocco,87,41.31130191,-0.4783966,-0.4686437,-0.4447944,6993.78,138.911268095998,6.14617858388986,8623.265625,42.531967383806,4.3012763601155495,2021,2022,0,Middle East & North Africa,Lower middle income
GEO,Georgia,88,40.79056687,0.7226795,-0.2017684,0.2251347,663.11,146.566472682371,26.6463786914494,18915.65340052628,77.2303110681266,1.602893022457743,2021,2022,0,Europe & Central Asia,Upper middle income
BHS,Bahamas,89,40.74236429,1.2282597,0.7434332,0.3484926,22.93,100.257333370336,20.7423310871326,31064.68221661941,,0.2611999658182343,2021,2022,0,Latin America & Caribbean,High income
KEN,Kenya,90,40.35660716,-0.710787899999999,-1.11021939999999,-0.445618199999999,1991.87,122.297519656734,1.48254108303764,5338.852433827813,,3.127360613968883,2021,2022,0,Sub-Saharan Africa,Lower middle income
BLR,Belarus,91,40.27136657,-0.2062736,-0.616372399999999,-1.0672559,1600.37,127.117317282369,35.0097634241001,27611.180113515707,78.6027133367864,6.015768463598526,2021,2022,0,Europe & Central Asia,Upper middle income
PAK,Pakistan,92,40.22052841,-0.906181199999999,-1.6496402,-0.8231206,19703.26,78.8012296805749,1.23144065449307,5367.273647147621,12.3810012807012,1.4884882360675116,2021,2022,0,South Asia,Lower middle income
RWA,Rwanda,93,40.20366886,0.4694992,0.115233,0.0190329,332.31,81.6381635400584,0.238872174708692,2733.4356676244715,,5.102408027079126,2021,2022,0,Sub-Saharan Africa,Low income
SYC,Seychelles,94,39.87192314,1.1441374,0.7262104,0.5521392,19.69,149.479213250181,33.5645230796751,29979.827268609057,26.8701526144608,3.343076157890919,2021,2022,0,Sub-Saharan Africa,High income
TON,Tonga,95,39.80367582,-0.3427691,1.111896,0.7498563,3.67,60.9801876955162,6.4574841217177,6929.176692884377,,1.68995954105615,2021,2022,0,East Asia & Pacific,Upper middle income
BRB,Barbados,96,39.53011484,1.1946829,1.0845669,0.7010659,57.51,112.222706603295,36.3512637029634,17682.73145374831,54.672,17.15596635281923,2021,2022,0,Latin America & Caribbean,High income
NGA,Nigeria,97,39.10120996,-1.1909306,-2.0135756,-0.926327599999999,9263.7,89.2915858426408,0.0301639204550369,7588.47885596359,,6.487965049125805,2021,2022,0,Sub-Saharan Africa,Lower middle income
BWA,Botswana,98,38.36432707,0.7018975,1.0572186,0.3719933,377.36,173.25235140068,5.5483769953124,17960.625444743728,21.2032904951187,0.3307859414532644,2021,2022,0,Sub-Saharan Africa,Upper middle income
BTN,Bhutan,99,37.91424365,1.3198694,0.9391838,0.6782878,106.33,100.330908049861,0.364566273170656,13458.812666742975,14.7382447141292,,2021,2022,0,South Asia,Lower middle income
ATG,Antigua and Barbuda,100,37.91159431,0.181489,0.9147636,0.5666971,6.09,199.244171566557,8.66279006811119,25745.495806774616,,0.0,2021,2022,0,Latin America & Caribbean,High income
ECU,Ecuador,101,37.3586778,-0.6326965,-0.1983083,-0.4314709,2473.5,94.950621672761,14.0284374555704,13507.444563837456,,4.840963173813314,2021,2022,0,Latin America & Caribbean,Upper middle income
MNG,Mongolia,102,37.21364782,-0.6644684,0.7338327,-0.1731689,274.29,140.352142155192,11.3929982387502,14792.250908642214,67.4261046440448,22.02069998665383,2021,2022,0,East Asia & Pacific,Upper middle income
JAM,Jamaica,103,37.09045226,-0.0851526,0.1423135,-0.0742917999999999,185.06,102.38666630017,14.5717525783368,10430.690977175882,,2.471950011647286,2021,2022,0,Latin America & Caribbean,Upper middle income
GHA,Ghana,104,36.56305785,-0.1554389,-0.1622488,0.0415219,2561.95,124.402625384529,0.352237707175248,6607.502973783208,19.2005186528071,0.7260845937203071,2021,2022,0,Sub-Saharan Africa,Lower middle income
LKA,Sri Lanka,105,36.23061644,-0.3367364,-0.510938,-0.2315397,2410.12,135.522602889503,10.5401488574725,14316.135222568291,20.7824292013914,1.0451912960950598,2021,2022,0,South Asia,Lower middle income
TTO,Trinidad and Tobago,106,36.1712009,-0.2305843,0.1561926,-0.1513775,266.0,134.221562299819,24.9299429931902,30482.120179863054,,0.1028344019126642,2021,2022,0,Latin America & Caribbean,High income
LCA,Saint Lucia,107,35.85863778,0.370132,0.868144,0.6252576,3.84,96.2374385229832,10.675434960397,19101.16529566755,,,2021,2022,0,Latin America & Caribbean,Upper middle income
BEN,Benin,108,35.83543571,-0.1642663,-0.4106645,-0.3852134,402.31,94.9182598289459,0.154166533404575,3464.2886286745,9.82796955108643,2.6984468993049537,2021,2022,0,Sub-Saharan Africa,Lower middle income
TJK,Tajikistan,109,35.83071587,-1.0874541,-0.3984715,-1.2591682,131.4,64.0874682499327,0.495991334524208,3985.912476112185,37.4220713871838,0.4082846489619872,2021,2022,0,Europe & Central Asia,Lower middle income
PRY,Paraguay,110,35.45868855,-0.905500299999999,-0.0550381999999999,-0.5280024,227.95,119.312639901188,10.8118689766377,15406.167064657566,,7.420545984681914,2021,2022,0,Latin America & Caribbean,Upper middle income
DZA,Algeria,111,35.32545863,-0.6509952,-0.9009933,-0.7553319,6650.05,105.037092587919,9.33184191925225,14496.865469729872,54.2222597146723,,2021,2022,0,Middle East & North Africa,Upper middle income
BIH,Bosnia and Herzegovina,112,35.16653037,-0.6690056,-0.310701599999999,-0.3074514,1091.63,114.911613799718,24.5890868366952,18286.73733242331,45.0589485168457,5.316222002422011,2021,2022,0,Europe & Central Asia,Upper middle income
SUR,Suriname,113,35.10760082,-0.311597299999999,0.3607899,-0.1971687,25.22,146.654129497521,19.899950800782,18458.23499968104,8.45416298008342,4.633987928760653,2021,2022,0,Latin America & Caribbean,Upper middle income
GTM,Guatemala,114,34.92596868,-1.21790929999999,-0.5740791,-0.975567699999999,119.25,125.718955715353,3.4775394703571,11825.141273764004,,5.167081043254193,2021,2022,0,Latin America & Caribbean,Upper middle income
NAM,Namibia,115,34.56777823,0.3260821,0.5136089,0.2859049,233.51,103.727351391971,3.1781346555903,9709.099306467706,26.6057345682932,0.0666275179134237,2021,2022,0,Sub-Saharan Africa,Lower middle income
SEN,Senegal,116,34.51097098,0.0360917,-0.1040585,-0.1485159,434.2,115.325093678501,1.20966034985347,4173.677413996194,14.6823561354842,1.8791867469948085,2021,2022,0,Sub-Saharan Africa,Lower middle income
GRD,Grenada,117,34.39033175,0.3144044,1.0408786,0.4044535,62.74,86.5710270122035,26.1175099410394,15290.250903138003,,1.2414575816424456,2021,2022,0,Latin America & Caribbean,Upper middle income
CPV,Cabo Verde,118,34.27404409,0.8975963,0.8339009,0.4863826,21.08,114.230551109167,5.90962142576488,7685.419213936686,,2.038021424785556,2021,2022,0,Sub-Saharan Africa,Upper middle income
KGZ,Kyrgyzstan,119,33.90924499,-1.1583724,-0.3876484,-0.879262,217.52,108.171654806063,4.43257724274204,5736.4788341515405,51.6239256637785,16.29872607093401,2021,2022,0,Europe & Central Asia,Lower middle income
VCT,Saint Vincent and the Grenadines,120,33.70891003,0.7401119,1.0408786,0.6474473,5.84,95.5173520288601,27.1020312910221,16200.899459784525,35.7032258064516,0.0034502487133053,2021,2022,0,Latin America & Caribbean,Upper middle income
MDV,Maldives,121,33.53552338,-0.1632074,0.4430279,-0.1352825,22.11,136.789214071769,14.8246453577808,19052.622490431066,23.794640430505,2.0112518938114587,2021,2022,0,South Asia,Upper middle income
GUY,Guyana,122,33.51820323,-0.1042454,-0.0281476999999999,-0.378924,45.08,104.968595260226,11.6495520440672,22865.9270968882,,0.2216851014746262,2021,2022,0,Latin America & Caribbean,High income
UGA,Uganda,123,32.65923191,-0.9322359,-0.9440307,-0.7277087,1211.34,65.6220730009172,0.0838841644026815,2684.920359397436,,2.3479346973229247,2021,2022,0,Sub-Saharan Africa,Low income
BOL,Bolivia,124,32.55578829,-0.9489015,-0.2859636,-1.1101906,161.62,100.809064985893,9.44574009663778,11202.440983670713,,4.548883143171252,2021,2022,0,Latin America & Caribbean,Lower middle income
TZA,United Republic of Tanzania,125,32.49772202,-0.351543,-0.5751002,-0.5650588,1031.55,86.0162814148027,1.97842,3493.0830078125,3.59164319762461,1.6829347109246815,2021,2022,0,Sub-Saharan Africa,Lower middle income
MMR,Myanmar,126,32.44565026,-0.9391159,-2.09394989999999,-1.5648147,273.07,127.240645128106,1.67276170937317,5178.447182171636,,5.069368433603247,2021,2022,0,East Asia & Pacific,Lower middle income
GAB,Gabon,127,32.42445285,-0.8653289,-0.28203,-0.9165415,94.55,132.30865873249,2.65142494578668,18523.57980321933,,1.483325896335714,2021,2022,0,Sub-Saharan Africa,Upper middle income
TKM,Turkmenistan,128,31.94984039,-1.36021099999999,-0.224582999999999,-1.5825855,13.81,88.1929367884543,4.08263176069293,16434.13990603527,14.5425982703266,,2021,2022,0,Europe & Central Asia,Upper middle income
LAO,Lao People's Democratic Republic,129,31.71862863,-1.0773186,0.583086,-0.7575675,83.5,64.7101497693472,2.0226898696049,8080.435532499231,12.4396649191011,7.286446376639242,2021,2022,0,East Asia & Pacific,Lower middle income
CUB,Cuba,130,31.5867537,-0.2211207,0.4994388,-0.6486658,1600.57,63.8661095570576,2.67322881654008,,51.8885571735926,70.08656603414103,2021,2022,0,Latin America & Caribbean,Upper middle income
IRQ,Iraq,131,31.52182498,-1.37400869999999,-2.1722684,-1.4374976,8689.54,94.6092832170426,14.8275236561145,12731.753575512885,,,2021,2022,0,Middle East & North Africa,Upper middle income
KHM,Cambodia,132,31.1652904,-1.0917539,-0.1486895,-1.14770479999999,153.37,117.234785164989,1.98089406311481,6225.532654747405,13.5005634857238,2.980632793680184,2021,2022,0,East Asia & Pacific,Lower middle income
VUT,Vanuatu,133,31.10658853,-0.0360087,0.9586235,0.6224841,17.05,81.6914485987419,1.03214458524592,3135.8366494567786,,,2021,2022,0,East Asia & Pacific,Lower middle income
