iso3,country_raw,readiness_rank,readiness_score,GOV_WGI_CC_EST,GOV_WGI_PV_EST,GOV_WGI_RL_EST,IP.JRN.ARTC.SC,IT.CEL.SETS.P2,IT.NET.BBND.P2,NY.GDP.PCAP.PP.CD,SE.TER.ENRR,TX.VAL.TECH.MF.ZS,predictor_year,outcome_year,era,region,income_classification,GOV_WGI_CC_EST_imputed,GOV_WGI_CC_EST_impute_level,GOV_WGI_PV_EST_imputed,GOV_WGI_PV_EST_impute_level,GOV_WGI_RL_EST_imputed,GOV_WGI_RL_EST_impute_level,IT.NET.BBND.P2_imputed,IT.NET.BBND.P2_impute_level,IT.CEL.SETS.P2_imputed,IT.CEL.SETS.P2_impute_level,NY.GDP.PCAP.PP.CD_imputed,NY.GDP.PCAP.PP.CD_impute_level,SE.TER.ENRR_imputed,SE.TER.ENRR_impute_level,IP.JRN.ARTC.SC_imputed,IP.JRN.ARTC.SC_impute_level,TX.VAL.TECH.MF.ZS_imputed,TX.VAL.TECH.MF.ZS_impute_level,group
NOR,Norway,11,76.11968176,2.0745237,0.9361906,1.9859646,13756.15,109.654228618195,45.4377082628592,103637.51684367847,95.0573806762695,25.67461437749992,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
JPN,Japan,12,75.74917653,1.3377896,1.2674256,1.5084872,96543.44,178.432441299977,38.6312383711286,50661.76634631089,64.4907608032227,17.10280607032123,2023,2024,0,East Asia & Pacific,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
ARE,United Arab Emirates,13,75.65804571,0.9918577,0.7829523,0.4492886,7075.14,199.423843889179,37.0968234502256,77955.29517608786,61.3456114422447,8.960293973945754,2023,2024,0,Middle East & North Africa,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
SWE,Sweden,14,75.40286681,1.9804259,0.778803,1.6947293,21243.62,140.265691285045,40.7340135908716,69226.32727566626,81.3998184204102,17.62385202771132,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
DNK,Denmark,15,74.71009478,2.3171626,0.9005936,2.0143499,15603.08,126.717092547985,44.0352069959396,77892.29326099037,81.2308197021484,17.132157583740376,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
ISR,Israel,17,74.52155598,0.8712956,-1.0423159,0.6642378,13844.24,153.336641345572,29.4357235504327,55171.23188143215,57.143440246582,34.93777358244434,2023,2024,0,Middle East & North Africa,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
IRL,Ireland,18,73.18014934,1.5859129,0.876648,1.5980444,8719.61,110.798344311602,31.8907830651788,129682.60715051716,79.21979543733906,47.77377328492186,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Top-Stable
AUT,Austria,19,72.83567415,1.3200882,0.7016405,1.6577235,13845.8,121.746207105931,29.3725409835617,73544.65672304865,91.6818237304688,15.923269788116936,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
BEL,Belgium,20,72.68793041,1.467016,0.1994126,1.2719977,16816.32,103.196426365374,43.7026445985633,71946.14471902922,82.1475601196289,18.6668227645892,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
EST,Estonia,21,72.61871555,1.6727855,0.8473511,1.482125,1753.58,150.195729068839,35.2539796781149,48637.18022087952,67.6179275512695,16.581160524958964,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
SAU,Saudi Arabia,22,72.35591144,0.476953,-0.2452065,0.1165635,24594.79,157.775388696083,43.5732045642216,71564.80002856499,58.8552351188906,0.5906291417678277,2023,2024,0,Middle East & North Africa,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
CHN,China,23,72.0098981,0.1138225,-0.174451499999999,-0.552260699999999,932711.93,128.247014127486,44.728886496649,25179.119306638306,74.5933014618366,26.568213654288087,2023,2024,0,East Asia & Pacific,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
MYS,Malaysia,24,71.39992403,0.380697,0.2281849,0.3016843,23690.94,142.7320920639,13.0287000355119,36466.89149383334,37.2745812491757,59.41550744217887,2023,2024,0,East Asia & Pacific,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
ITA,Italy,25,71.21652388,0.571449,0.4737389,0.6505552,82770.89,131.871674517747,31.8410876819321,60029.871712398,75.9496536254883,9.9836968942283,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
PRT,Portugal,26,70.92843933,0.7848198,0.7890296,1.0824285,18225.29,123.001507659381,44.1107426914567,49352.83886130321,77.6778182983398,6.710841679983992,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
LUX,Luxembourg,27,70.62575172,2.0124074,1.0156548,1.7286548,1175.75,144.474949556306,38.3793065082138,150508.2188868879,21.5371704101562,5.979250210643996,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
CZE,Czechia,28,70.23281209,0.8499213,1.0704669,1.1605869,13409.42,126.004753501387,37.9099783935119,55761.379829137455,66.7282867431641,20.302723987427008,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
ISL,Iceland,29,69.82023722,1.6623764,1.2058266,1.59027,715.97,121.475495280706,37.4245919320463,81608.4479116436,76.5200729370117,43.42454227640107,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
CHE,Switzerland,30,69.41989807,2.0972439,0.9907717,1.7920906,22803.86,130.221876609608,46.8364627671237,95141.59609436324,74.0060882568359,29.33402869787281,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
ESP,Spain,31,69.25248467,0.7395223,0.1484475,0.9304606,60303.76,127.715490236713,37.2148181549182,55682.240260309256,93.7303466796875,9.56253561613111,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
QAT,Qatar,32,68.22070132,0.7757739,1.0147153,0.5728637,2471.29,157.82063065065,11.641102863231,129367.8696709272,38.2058906555176,2.7800363029790134,2023,2024,0,Middle East & North Africa,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
LTU,Lithuania,33,67.79802914,0.8884764,0.9517926,1.3288838,2673.09,137.203719983084,27.9638162516437,52348.2468215268,77.0064163208008,14.402895995336069,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
POL,Poland,34,67.51119621,0.7534838,0.5055901,0.3564347,31218.47,135.146301442691,24.526154479274,48473.09402864191,76.8794097900391,12.122318973594732,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
THA,Thailand,35,66.16948723,-0.439334199999999,-0.4398775,-0.1956309,16656.15,168.642808295144,14.5089451983046,23519.212097982272,45.4407811172674,26.050622943512924,2023,2024,0,East Asia & Pacific,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
BRA,Brazil,36,65.88947723,-0.451506099999999,-0.521574099999999,-0.483012599999999,58292.04,101.020256020808,22.4192301618889,21175.61869882142,43.3179799459156,9.849149349554,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
SVN,Slovenia,37,65.85327433,0.6814999,0.8589449,0.9707915,3567.56,129.227963043737,31.8814801387465,56064.097459674245,80.0806884765625,8.203455821310259,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
IDN,Indonesia,38,65.85124932,-0.4431661,-0.613745,-0.0817572,38992.0,125.238194847046,4.81663955789733,15415.707925952724,44.8813034886441,9.08308687782522,2023,2024,0,East Asia & Pacific,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
RUS,Russian Federation,39,64.71707681,-0.8877345,-0.8184163,-1.0734047,85558.11,180.841776534047,25.8238695549039,44268.73046875,93.7277679443359,18.09397924797973,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,Top-Stable
NZL,New Zealand,40,63.98217071,2.0156067,1.2849613,1.7075544,8096.23,126.854978584281,37.8530848455277,54697.382252318,76.3811416625977,12.649485735640065,2023,2024,0,East Asia & Pacific,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
SVK,Slovakia,41,63.69003612,0.3846188,0.5856273,0.5534478,5332.18,138.232946210214,33.17259432898,45973.94069029912,53.417610168457,9.7184584659913,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
MLT,Malta,42,63.64342039,0.3219728,0.9382841,0.7940278,497.77,140.59359496844,44.282454836797,67057.21843298913,80.5250091552734,43.269279320947874,2023,2024,0,Middle East & North Africa,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
HUN,Hungary,43,63.63204457,0.083173,0.5841522,0.1894005,8260.49,105.054424922699,36.7901885342462,46592.38560700735,56.5924415588379,18.86245696218628,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
CHL,Chile,44,63.19327114,1.0318341,0.0876667,0.6647803,8573.42,135.871118507277,22.9954165646133,33145.403552024974,104.734062194824,10.719563342370906,2023,2024,0,Latin America & Caribbean,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
OMN,Oman,45,62.91022757,0.227724,0.5521576,0.3443083,1640.31,122.291457994634,10.8793321668994,41945.02556408825,58.8552351188906,5.005393460961461,2023,2024,0,Middle East & North Africa,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
IND,India,46,62.80654813,-0.3353176,-0.837974,-0.0879069,228174.31,80.5631998772888,2.74534696441771,10323.499873442795,34.2394344991225,14.93434729867156,2023,2024,0,South Asia,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
URY,Uruguay,47,62.20915139,1.5493831,1.181072,0.9573597,1059.81,141.71948663565,32.4032099586757,34470.93222011432,79.9536903496537,10.707230873721414,2023,2024,0,Latin America & Caribbean,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
LVA,Latvia,48,61.87089556,0.7759204,0.8394628,1.0727082,1736.07,119.909944560018,25.9948491178264,42576.40607994567,85.7360610961914,18.554389354562986,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
JOR,Jordan,49,61.56757258,0.1060315,-0.3007473,0.1232268,5419.23,67.545678186078,7.03749462484875,10411.841615296738,33.0567036969523,2.084159854271586,2023,2024,0,Middle East & North Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
CYP,Cyprus,50,61.50126092,0.4826822,0.3935929,0.7591158,1764.12,148.333712748344,36.9005587748344,59874.5703125,107.26212310791,18.74195339288293,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
VNM,Viet Nam,51,61.41545515,-0.3083958,0.0907515,-0.340198899999999,10644.49,130.991428667547,22.6806675035061,15033.87685943549,32.8415128147815,44.25688525168196,2023,2024,0,East Asia & Pacific,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
BGR,Bulgaria,52,60.63955798,-0.1501295,0.3144686,-0.0265936,4998.4,117.932685806225,37.0235717545079,38829.19132081018,79.8532333374023,12.057894417322116,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Top-Stable
TUR,Türkiye,53,60.62787606,-0.4374572,-0.884477,-0.799233499999999,50180.49,105.684032912794,22.4591697943845,42786.20049486639,105.88606262207,4.518290989868524,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
UKR,Ukraine,54,60.57013332,-0.7242773,-0.545978,-0.7454054,15498.36,133.38012811971,21.3774151510902,17665.34375,82.5533599853516,6.68812192869261,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
COL,Colombia,55,59.33330773,-0.309004899999999,-0.7993485,-0.5648803,9183.73,166.980107777443,17.0369815251774,21246.37626952008,43.3179799459156,8.599891597811409,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Top-Stable
PHL,Philippines,56,58.50707886,-0.5690313,-0.709066,-0.601158699999999,4752.21,117.275521687262,6.5393085505183,10985.829262750516,44.2394203278519,63.977928897569015,2023,2024,0,East Asia & Pacific,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
SRB,Serbia,57,58.48610163,-0.501692,0.0879568999999999,-0.1840377,5173.1,128.471147595832,31.2695286708104,29776.895175215937,73.2060012817383,8.590687803545645,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,Rest
ROU,Romania,58,58.0818462,0.0314923,0.4983587,0.4118457,10712.88,123.252482585042,34.6706189336505,45981.602778522174,55.1682891845703,12.67474083271228,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
GRC,Greece,59,57.69792651,0.3292978,0.3853039,0.3963788,13551.59,110.79216956747,43.8539621755853,42710.50580103135,165.113418579102,15.15153377409025,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
PER,Peru,60,57.11155994,-0.6654876,-0.7239502,-0.4787644,5241.67,121.975084691173,10.4364266723222,17011.227802882473,43.3179799459156,5.015720128215253,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
CRI,Costa Rica,61,56.85007591,0.6775627,1.1842629,0.6431263,660.82,133.527658761832,22.5231293549635,28908.768874319103,63.55896639763014,24.177789153065973,2023,2024,0,Latin America & Caribbean,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
ARG,Argentina,62,56.40407736,-0.354078399999999,-0.0207671,-0.237773799999999,8589.35,137.706086781571,25.3580730689248,30221.4976888753,107.822574129434,5.449594405783187,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
MDA,Republic of Moldova,63,56.03414931,-0.266050299999999,-0.2678685,-0.1938657,335.06,129.546081439289,27.3086365814931,17746.94055386838,71.1679028753075,2.617084405382722,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
EGY,Egypt,65,55.62588551,-0.816904499999999,-0.899323299999999,-0.7776875,22854.4,92.8261626420085,10.8642477216638,18524.83929979369,37.9005584716797,3.1628687839356675,2023,2024,0,Middle East & North Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
BRN,Brunei Darussalam,66,55.44955575,1.1816499,1.3348873,0.638307,501.5,118.673752421293,20.2120497048692,85032.60087419949,36.4182725443167,1.0192505676847716,2023,2024,0,East Asia & Pacific,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
BHR,Bahrain,68,54.32835116,0.2380412,-0.5007436,0.1259217,718.3,153.899937948583,17.1582362107608,64171.08573590521,57.0562240948353,0.3873436445173711,2023,2024,0,Middle East & North Africa,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
MUS,Mauritius,69,53.94349686,0.3417899,0.8348296,0.6633408,205.31,165.257524411348,26.9082309192612,29560.71372300788,43.3386887794765,1.014538900784168,2023,2024,0,Sub-Saharan Africa,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
UZB,Uzbekistan,70,53.45247202,-0.701745899999999,-0.2504784,-0.6742999,4624.44,106.884847592051,30.2699233460544,11106.971593476685,45.7591768686293,2.822390701222922,2023,2024,0,Europe & Central Asia,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
MEX,Mexico,71,53.28576348,-0.9321625,-0.5984727,-1.0777054,18981.87,111.735420288549,20.752917384408,25243.1644887582,47.474681854248,17.99387858126017,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
ZAF,South Africa,72,52.91180045,-0.2095917,-0.6397104,0.039525,14949.03,171.508619260428,3.4056617766544,15199.732982377553,23.493768799339,4.955515712099358,2023,2024,0,Sub-Saharan Africa,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
DOM,Dominican Republic,73,52.69157831,-0.429853,0.4655668,-0.241159899999999,104.52,91.8676246650308,11.1345555858062,25839.935668760703,58.2428049803824,6.030929399821513,2023,2024,0,Latin America & Caribbean,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
HRV,Croatia,74,51.62288743,0.113708,0.6832484,0.4257869,5503.53,117.112604314708,28.4709561519529,47759.698299533855,81.1775207519531,11.033590881471492,2023,2024,0,Europe & Central Asia,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
KAZ,Kazakhstan,76,51.40653433,-0.2223164,-0.2021045,-0.3777888,3818.58,127.114775212168,14.3457210056574,38515.18360099794,54.6563982045582,34.429337319659645,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
KWT,Kuwait,77,51.25970098,0.1660086,0.2906988,0.1910577,1395.04,167.68428501222,1.01366418243269,53025.47108580635,58.8552351188906,1.7849965684682487,2023,2024,0,Middle East & North Africa,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,False,observed,False,observed,Rest
RWA,Rwanda,78,51.25257164,0.6808504,0.0380223,0.0714762,433.51,91.4622704078141,0.445556123195211,3399.451746031431,8.88624308383425,2.6928697933873376,2023,2024,0,Sub-Saharan Africa,Low income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,Rest
MNE,Montenegro,79,47.42969132,-0.0680776999999999,0.262079,0.1276478,254.67,207.237922064803,32.0155251660479,31862.77157780415,55.1743011474609,7.995201603123919,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
BGD,Bangladesh,80,47.11916395,-1.1987203,-1.0359445,-0.9020256,8259.38,111.280894357567,7.89245848428319,9147.777506655502,24.2003442708621,4.566280323429497,2023,2024,0,South Asia,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,True,region_income_year,Rest
GEO,Georgia,81,46.91902495,0.6584135,-0.120908599999999,0.1642921,649.57,155.249965068869,29.3086367614167,25071.967726410687,78.2652247393707,2.293037544018809,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
LBN,Lebanon,82,46.66806935,-1.2554109,-1.2764099,-1.0665045,2079.31,94.38716642601456,8.14153309984003,12574.8329116403,54.4012561547071,4.302360783603364,2023,2024,0,Middle East & North Africa,Lower middle income,False,observed,False,observed,False,observed,True,region_income_year,True,region_income_year,False,observed,False,observed,False,observed,False,observed,Rest
SEN,Senegal,83,46.10767554,0.0381077,-0.1534325,-0.170334799999999,489.62,123.911572643075,1.97393200956788,4777.614518615782,16.0710053721835,1.604738865344467,2023,2024,0,Sub-Saharan Africa,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
ALB,Albania,84,45.46622776,-0.464044399999999,0.0246567,-0.153011099999999,319.46,92.9973271969712,22.5048592377088,24822.3543089995,64.7293520237257,0.6823268494736465,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
LKA,Sri Lanka,85,45.29464691,-0.3868314,-0.670013,-0.31553,2321.86,142.277402587724,8.76545173115153,14455.654441473378,20.7412633848006,1.417238452577579,2023,2024,0,South Asia,Lower middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
MKD,North Macedonia,86,45.12278472,-0.3541776,0.2173102,-0.2738806,498.97,106.458776658176,29.1771708951077,25354.10350576199,55.0082015991211,5.22971063617991,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
SYC,Seychelles,87,44.76984511,1.151735,0.9207856,0.5546447,15.17,129.24400747161,30.7719361318005,31780.78383419647,14.0341370902195,0.0384062538993691,2023,2024,0,Sub-Saharan Africa,High income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
ARM,Armenia,88,44.51279855,0.1046118,-0.5022441,-0.2107914,801.49,134.519957069953,18.5458075085454,21534.030536117025,56.2770051010456,20.905156020748368,2023,2024,0,Europe & Central Asia,Upper middle income,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,False,observed,Rest
